Indicator,Impact,Previous,Forecast,Actual,Correlation
Core CPI (YoY),High,3.2%,3.1%,2.9%,Normal
Core PCE Price Index (MoM),High,0.2%,0.2%,0.1%,Normal
PPI (MoM),Medium,0.1%,0.2%,0.2%,Normal
CPI (MoM),High,0.3%,0.2%,0.2%,Normal
GDP (Annualized QoQ),High,2.5%,2.3%,2.5%,Normal
Flash Services PMI,Medium,51.3,51.5,51.4,Normal
ISM Manufacturing PMI,High,48.5,49.0,47.0,Normal
Retail Sales (MoM),Medium,0.4%,0.3%,0.2%,Normal
CB Consumer Confidence,Medium,104.0,105.5,109.2,Normal
Building Permits,Low,1.42M,1.45M,1.42M,Normal
Non-Farm Payrolls (NFP),High,175K,160K,164K,Normal
JOLTS Job Openings,Medium,8.55M,8.40M,8.4M,Normal
ADP Non-Farm Employment Change,Medium,155K,150K,135K,Normal
Average Hourly Earnings (MoM),High,0.3%,0.3%,0.4%,Normal
Unemployment Rate,High,3.9%,3.8%,3.9%,Inverse
Initial Jobless Claims,Medium,210K,215K,206K,Inverse
Federal Funds Rate,High,5.50%,5.50%,5.75%,Normal
FOMC Rate Decision,High,5.50%,5.50%,5.50%,Normal
Empire State Manufacturing Index,Low,-14.3,-11.0,-11.1,Normal
